CookerStat, GenerateAssetRegistry=0.042897, Initialize=1.175802, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0530AEDB41F355B722BA45A93096A8F8__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=6.309200, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77D9FD744F31FC8D14EFA2B036913C74__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=451, Duration=6.595399, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0EBBD8DB447D58FE7E727A81FC6B40EC__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=423, Duration=6.509300, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F84C8F7A4FCE694FB33948BC8878F6C2__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=6.968498, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6546E3D54A0DCDCCCFF97E82007A6B21__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=6.830901, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D8C6C51453BD0DA94CF2C974991F647__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=8.988998, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3438D43447CE2A6C75D34A916B931394__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=7.098198, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9DE2370E41EBF244A60807BDC377A5AF__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=7.378802, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA7FFC8444EFF90708DB26B3B96A1A21__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=7.417697, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B9EE4904377C7A77C90A9A5818CC67D__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=6.575998, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
